corpus,project,symbol,kind,predicted_color,predicted_reason,actual_status,root_blocker
endtoend,globals.c,scale,global,green,admissible,ported,
endtoend,globals.c,table,global,green,admissible,ported,
endtoend,globals.c,table_sum,function,green,admissible,ported,
endtoend,goto.c,backward_loop,function,green,admissible,ported,
endtoend,goto.c,c_main,function,green,admissible,ported,
endtoend,goto.c,chained_labels,function,green,admissible,ported,
endtoend,goto.c,escape_nested,function,green,admissible,ported,
endtoend,goto.c,into_loop,function,green,admissible,ported,
endtoend,goto.c,label_at_end,function,green,admissible,ported,
endtoend,goto.c,printf,function,green,admissible,declared,
endtoend,goto.c,skip_init,function,green,admissible,ported,
endtoend,incremental-builds.cpp,Base,record,red,inadmissible,dropped,destructor
endtoend,incremental-builds.cpp,Counter,record,green,admissible,ported,
endtoend,incremental-builds.cpp,Derived,record,red,inadmissible,dropped,base-class
endtoend,incremental-builds.cpp,c_main,function,green,admissible,ported,
endtoend,incremental-builds.cpp,pick,function,red,inadmissible,dropped,reference-type
endtoend,incremental-builds.cpp,printf,function,green,admissible,declared,
endtoend,incremental-builds.cpp,total,function,green,admissible,ported,
endtoend,inline.c,c_main,function,green,admissible,ported,
endtoend,inline.c,printf,function,green,admissible,declared,
endtoend,inline.c,shift,function,green,admissible,ported,
endtoend,inline.c,tu0_chain,function,green,admissible,ported,
endtoend,inline.c,tu0_scale,function,green,admissible,ported,
endtoend,inline.c,twice,function,green,admissible,ported,
endtoend,lib-crate-external-caller.c,Acc,record,green,admissible,ported,
endtoend,lib-crate-external-caller.c,acc_count,function,green,admissible,ported,
endtoend,lib-crate-external-caller.c,acc_push,function,green,admissible,ported,
endtoend,lib-crate-external-caller.c,acc_reset,function,green,admissible,ported,
endtoend,lib-crate-external-caller.c,acc_total,function,green,admissible,ported,
endtoend,lib-crate-external-caller.c,clamped,function,green,admissible,ported,
endtoend,lib-crate-external-caller.c,scale_total,function,green,admissible,ported,
endtoend,lib-crate-external-caller.c,tu0_scale_hidden,function,green,admissible,ported,
endtoend,lib-crate-externals-trait.c,banded,function,green,admissible,ported,
endtoend,lib-crate-externals-trait.c,host_floor,function,green,admissible,declared,
endtoend,lib-crate-externals-trait.c,host_scale,function,green,admissible,declared,
endtoend,lib-crate-externals-trait.c,plain_sum,function,green,admissible,ported,
endtoend,lib-crate-externals-trait.c,scaled,function,green,admissible,ported,
endtoend,libc-subset.c,c_main,function,green,admissible,ported,
endtoend,libc-subset.c,tu0_sign,function,green,admissible,ported,
endtoend,linked-list.c,Node,record,green,admissible,ported,
endtoend,linked-list.c,c_main,function,green,admissible,ported,
endtoend,loops.c,c_main,function,green,admissible,ported,
endtoend,loops.c,printf,function,green,admissible,declared,
endtoend,lostcopy-min.c,c_main,function,green,admissible,ported,
