corpus,project,tus,strict_ok,strict_builds,incr_emitted,incr_builds,graph_items,ported,stubbed,dropped,missing,declared,ported_permille
c-testsuite,00166.c,1,1,1,1,1,1,1,0,0,0,0,1000
c-testsuite,00167.c,1,1,1,1,1,1,1,0,0,0,0,1000
c-testsuite,00168.c,1,1,1,1,1,2,2,0,0,0,0,1000
c-testsuite,00169.c,1,1,1,1,1,1,1,0,0,0,0,1000
c-testsuite,00170.c,1,1,1,1,1,9,9,0,0,0,0,1000
c-testsuite,00171.c,1,1,1,1,1,1,1,0,0,0,0,1000
c-testsuite,00172.c,1,1,1,1,1,1,1,0,0,0,0,1000
c-testsuite,00173.c,1,1,1,1,1,1,1,0,0,0,0,1000
c-testsuite,00174.c,1,1,1,1,1,1,1,0,0,0,0,1000
c-testsuite,00175.c,1,1,1,1,1,4,4,0,0,0,0,1000
c-testsuite,00176.c,1,1,1,1,1,5,5,0,0,0,0,1000
c-testsuite,00177.c,1,1,1,1,1,1,1,0,0,0,0,1000
c-testsuite,00178.c,1,1,1,1,1,1,1,0,0,0,0,1000
c-testsuite,00179.c,1,1,1,1,1,1,1,0,0,0,0,1000
c-testsuite,00180.c,1,1,1,1,1,1,1,0,0,0,0,1000
c-testsuite,00181.c,1,1,1,1,1,7,7,0,0,0,0,1000
c-testsuite,00182.c,1,1,1,1,1,5,5,0,0,0,0,1000
c-testsuite,00183.c,1,1,1,1,1,1,1,0,0,0,0,1000
c-testsuite,00184.c,1,1,1,1,1,1,1,0,0,0,0,1000
c-testsuite,00185.c,1,1,1,1,1,1,1,0,0,0,0,1000
c-testsuite,00186.c,1,1,1,1,1,1,1,0,0,0,0,1000
c-testsuite,00187.c,1,1,1,1,1,1,1,0,0,0,0,1000
c-testsuite,00188.c,1,1,1,1,1,1,1,0,0,0,0,1000
c-testsuite,00189.c,1,1,1,1,1,4,2,0,0,2,0,500
c-testsuite,00190.c,1,1,1,1,1,2,2,0,0,0,0,1000
c-testsuite,00191.c,1,1,1,1,1,1,1,0,0,0,0,1000
c-testsuite,00192.c,1,1,1,1,1,1,1,0,0,0,0,1000
c-testsuite,00193.c,1,1,1,1,1,2,2,0,0,0,0,1000
c-testsuite,00194.c,1,1,1,1,1,1,1,0,0,0,0,1000
c-testsuite,00195.c,1,1,1,1,1,3,3,0,0,0,0,1000
c-testsuite,00196.c,1,1,1,1,1,3,3,0,0,0,0,1000
c-testsuite,00197.c,1,1,1,1,1,4,4,0,0,0,0,1000
c-testsuite,00198.c,1,1,1,1,1,2,2,0,0,0,0,1000
c-testsuite,00199.c,1,1,1,1,1,4,4,0,0,0,0,1000
c-testsuite,00200.c,1,1,1,1,1,4,4,0,0,0,0,1000
c-testsuite,00201.c,1,1,1,1,1,1,1,0,0,0,0,1000
c-testsuite,00202.c,1,1,1,1,1,1,1,0,0,0,0,1000
c-testsuite,00203.c,1,1,1,1,1,1,1,0,0,0,0,1000
c-testsuite,00204.c,1,1,1,1,1,137,136,0,0,1,0,992
c-testsuite,00205.c,1,1,1,1,1,3,3,0,0,0,0,1000
c-testsuite,00206.c,1,1,1,1,1,1,1,0,0,0,0,1000
c-testsuite,00207.c,1,1,1,1,1,4,4,0,0,0,0,1000
c-testsuite,00208.c,1,1,1,1,1,5,5,0,0,0,0,1000
c-testsuite,00209.c,1,1,1,1,1,12,6,0,0,6,1,500
c-testsuite,00210.c,1,1,1,1,1,5,5,0,0,0,1,1000
c-testsuite,00211.c,1,1,1,1,1,2,2,0,0,0,1,1000
c-testsuite,00212.c,1,1,1,1,1,1,1,0,0,0,0,1000
c-testsuite,00213.c,1,1,1,1,1,6,6,0,0,0,1,1000
c-testsuite,00214.c,1,1,1,1,1,7,7,0,0,0,1,1000
c-testsuite,00215.c,1,1,1,1,1,7,7,0,0,0,1,1000
c-testsuite,00216.c,1,1,1,1,1,53,39,0,0,14,0,735
c-testsuite,00217.c,1,1,1,1,1,2,2,0,0,0,1,1000
c-testsuite,00218.c,1,1,1,1,1,8,8,0,0,0,1,1000
c-testsuite,00219.c,1,1,1,1,1,6,6,0,0,0,0,1000
c-testsuite,00220.c,1,1,1,1,1,1,1,0,0,0,0,1000
synthetic,search-backtrack.cpp,2,0,0,0,0,,,,,,,
synthetic,search-bound.c,1,0,0,0,0,,,,,,,
synthetic,search-cli.c,2,1,1,1,1,3,3,0,0,0,0,1000
synthetic,search-determinism.c,2,0,0,0,0,,,,,,,
synthetic,search-false-green.c,1,0,0,1,1,3,1,1,1,0,0,333
synthetic,search-false-red.cpp,1,0,0,1,1,6,4,0,2,0,0,666
synthetic,search-green.c,1,1,1,1,1,3,3,0,0,0,0,1000
synthetic,search-red.c,1,0,0,1,1,5,2,1,2,0,0,400
